Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.23470","Escherichia coli O102:H6 strain ECO1034","ciprofloxacin","Resistant","64",,"64","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.57131","Escherichia coli strain 24742_1#304","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.23505","Escherichia coli O25:H4 strain ECO1189","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.144929","Escherichia coli MGL_1560","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"BD","CLSI, EUCAST",2021,,,,"Laboratory Method",,"37549252"
562,"562.23646","Escherichia coli O25:H4 strain ECO1373","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.42824","Escherichia coli strain MUGSI_134","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
562,"562.96495","Escherichia coli VRES0712","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.22479","Escherichia coli O18ac:H4 strain ECO0052","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.45403","Escherichia coli strain BR64-DEC","ciprofloxacin","Resistant","==6","=","6","mm","Disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,
562,"562.45653","Escherichia coli strain EC_42","ciprofloxacin","Resistant","6",,"6","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.97290","Escherichia coli VREC1085","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.56770","Escherichia coli strain 1047-14","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Oxoid","EUCAST",,,,,"Laboratory Method",,"30092762"
562,"562.23181","Escherichia coli O25:H4 strain ECO0798","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23724","Escherichia coli O17:H18 strain ECO1451","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.135581","Escherichia coli 20200203_MGL_06","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
562,"562.57493","Escherichia coli strain PB335","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.96979","Escherichia coli VRES1167","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.57370","Escherichia coli strain PB198","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.97166","Escherichia coli VREC1299","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.22913","Escherichia coli O15:H1 strain ECO0521","ciprofloxacin","Resistant","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.22794","Escherichia coli O75:H5 strain ECO0391","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.140847","Escherichia coli 018-E1-S02","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Hardy Diagnostics","CLSI",2015,,,,"Laboratory Method",,"31455657"
562,"562.28845","Escherichia coli strain RDK40_71E","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2013,,,,"Laboratory Method",,"29977533"
562,"562.99646","Escherichia coli b1f0c162-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23574","Escherichia coli O25:H4 strain ECO1261","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.140918","Escherichia coli 008-E1-U11","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Hardy Diagnostics","CLSI",2015,,,,"Laboratory Method",,"31455657"
562,"562.23474","Escherichia coli O25:H4 strain ECO1041","ciprofloxacin","Resistant","32",,"32","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.140885","Escherichia coli 013-E2-S02","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Hardy Diagnostics","CLSI",2015,,,,"Laboratory Method",,"31455657"
562,"562.57263","Escherichia coli strain 24742_1#356","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.100018","Escherichia coli e9c25c5a-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23452","Escherichia coli O162:H10 strain ECO1016","ciprofloxacin","Resistant","16",,"16","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.42714","Escherichia coli strain 318","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.23859","Escherichia coli O162:H10 strain ECO0957","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.57436","Escherichia coli strain W2_9_ERB5","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.57380","Escherichia coli strain PB420","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.97328","Escherichia coli VREC1449","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.99638","Escherichia coli b1077354-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.45645","Escherichia coli strain EC_21","ciprofloxacin","Resistant","9",,"9","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.22933","Escherichia coli O102:H6 strain ECO0543","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.22923","Escherichia coli O51:H34 strain ECO0532","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.97079","Escherichia coli VREC1193","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.96767","Escherichia coli VREC0898","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.45589","Escherichia coli strain EC_66","ciprofloxacin","Resistant","9",,"9","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.23317","Escherichia coli O8:H21 strain ECO0969","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23858","Escherichia coli O25:H4 strain ECO0765","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23788","Escherichia coli NA:H6 strain ECO0719","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.57481","Escherichia coli strain PB195","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.73366","Escherichia coli strain BB1427","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST, CLSI",2019,,,,"Laboratory Method",,"33846529"
562,"562.145024","Escherichia coli PT_EC0129","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2021,,,,"Laboratory Method",,"36363724"
